#capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
53240 1.260362709 0.895518306 0.895518306 0.364844403	0.895528568 1.233520489 1.236136432 1.244320829 1.234421435 1.240715450 1.240093497 1.206470122 1.205729582 1.205729582 1.208808560 1.208808560 1.211102812
58080 1.260362709 0.895518306 0.895518306 0.364844403	0.895528568 1.232379807 1.234776749 1.240534542 1.233345597 1.236569112 1.237191726 1.205179938 1.203936809 1.203936809 1.206226347 1.206226347 1.210010098
62920 1.260362709 0.895518306 0.895518306 0.364844403	0.895528568 1.215118983 1.219612094 1.208923895 1.218580623 1.210201318 1.210959312 1.163471462 1.138563664 1.138563664 1.191030124 1.191030124 1.154869339
67760 1.260362709 0.895518306 0.895518306 0.364844403	0.895528568 1.198367218 1.205816951 1.174095351 1.205177450 1.177747815 1.176958355 1.159862275 1.135928798 1.135928798 1.178292567 1.178292567 1.153597808
72600 1.260362709 0.895518306 0.895518306 0.364844403	0.895528568 1.192329795 1.197338053 1.163072143 1.196158681 1.165624636 1.165898227 1.152177561 1.124386504 1.124386504 1.146245910 1.146245910 1.145999853
77440 1.260362709 0.895518306 0.895518306 0.364844403	0.895528568 1.182261739 1.184161989 1.149855985 1.182429308 1.151731076 1.151535319 1.146766329 1.119402653 1.119402653 1.136573449 1.136573449 1.140586570
82280 1.260362709 0.895518306 0.895518306 0.364844403	0.895528568 1.139004743 1.142567724 1.112611624 1.140758201 1.111652336 1.111999995 1.054039811 1.000229492 1.000229492 1.034914828 1.034914828 1.013523085
87120 1.260362709 0.895518306 0.895518306 0.364844403	0.895528568 1.013137018 1.015805367 1.000896919 1.012770742 0.987408136 0.987302050 0.956696595 0.942284290 0.942284290 0.934163353 0.934163353 0.954051645
91960 1.260362709 0.895518306 0.895518306 0.364844403	0.895528568 0.954733191 0.955466540 0.952642898 0.953840350 0.933978328 0.934206199 0.942231849 0.940119989 0.940119989 0.931719408 0.931719408 0.947270548
48400 1.276810389 0.940317650 0.940317650 0.336492739	0.940328057 1.253410642 1.253962848 1.265313371 1.252495083 1.259713266 1.258073343 1.235994510 1.234824031 1.234824031 1.238544699 1.238544699 1.237121706
53240 1.276810389 0.940317650 0.940317650 0.336492739	0.940328057 1.252031108 1.252025284 1.260413313 1.250358165 1.254480236 1.254042687 1.223947120 1.223669188 1.223669188 1.227142580 1.227142580 1.227072902
58080 1.276810389 0.940317650 0.940317650 0.336492739	0.940328057 1.250877835 1.250875456 1.257071683 1.249044982 1.251472957 1.251573734 1.222590845 1.221990113 1.221990113 1.224060375 1.224060375 1.226205376
62920 1.276810389 0.940317650 0.940317650 0.336492739	0.940328057 1.234999647 1.237504651 1.227668913 1.235048779 1.223914559 1.224405761 1.181634581 1.155848989 1.155848989 1.212910942 1.212910942 1.165952697
67760 1.276810389 0.940317650 0.940317650 0.336492739	0.940328057 1.216219457 1.224396124 1.191669295 1.222891568 1.195024080 1.195357755 1.177973281 1.150310214 1.150310214 1.194692456 1.194692456 1.159843920
72600 1.276810389 0.940317650 0.940317650 0.336492739	0.940328057 1.209887289 1.216776905 1.181640791 1.215504539 1.185158075 1.185381424 1.169936647 1.139149620 1.139149620 1.150793647 1.150793647 1.144206334
77440 1.276810389 0.940317650 0.940317650 0.336492739	0.940328057 1.200793629 1.205529431 1.169939299 1.203024483 1.172615987 1.172960302 1.164073366 1.135754554 1.135754554 1.139417256 1.139417256 1.142643050
82280 1.276810389 0.940317650 0.940317650 0.336492739	0.940328057 1.162954308 1.167502235 1.137536187 1.165323609 1.139337198 1.139571254 1.076405338 1.022079619 1.022079619 1.054934013 1.054934013 1.038174220
87120 1.276810389 0.940317650 0.940317650 0.336492739	0.940328057 1.038131663 1.039890192 1.024466557 1.038042275 1.015491565 1.016558456 0.981304225 0.970009543 0.970009543 0.968144629 0.968144629 0.981699723
91960 1.276810389 0.940317650 0.940317650 0.336492739	0.940328057 0.981073790 0.982072815 0.979185528 0.980265553 0.963853891 0.963704116 0.968513377 0.967319754 0.967319754 0.962738194 0.962738194 0.973612354
48400 1.281992504 0.936353232 0.936353232 0.345639272	0.936363428 1.256595368 1.258696730 1.271234615 1.257690604 1.266268940 1.265892658 1.240390047 1.239099755 1.239099755 1.243284394 1.243284394 1.241826276
53240 1.281992504 0.936353232 0.936353232 0.345639272	0.936363428 1.255289482 1.256805873 1.266362961 1.255329062 1.262369696 1.261390069 1.228321246 1.228019624 1.228019624 1.231817690 1.231817690 1.232046903
58080 1.281992504 0.936353232 0.936353232 0.345639272	0.936363428 1.254267289 1.255741337 1.262523872 1.254052311 1.257378322 1.257902031 1.226713477 1.225811689 1.225811689 1.228930699 1.228930699 1.231214947
62920 1.281992504 0.936353232 0.936353232 0.345639272	0.936363428 1.237979456 1.241486762 1.230180881 1.239976342 1.227229716 1.230137866 1.183805647 1.158735111 1.158735111 1.215934477 1.215934477 1.170688589
67760 1.281992504 0.936353232 0.936353232 0.345639272	0.936363428 1.221891179 1.229480774 1.195089001 1.228671199 1.199225410 1.199442126 1.180710552 1.153824901 1.153824901 1.195968689 1.195968689 1.163212145
72600 1.281992504 0.936353232 0.936353232 0.345639272	0.936363428 1.216582143 1.222236744 1.185631190 1.221063033 1.189592802 1.190129877 1.174315624 1.144671163 1.144671163 1.156960796 1.156960796 1.149092760
