capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
1255 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296743383 3816.585795624 3746.513184150 3771.732152285 3741.886889606 3700.655358601 3647.678482400 3541.139153898 3666.870061736 3666.870061736 3402.108740036 3402.108740036 3604.315170956
1344 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296743383 3760.299938893 3727.203975898 3741.908361422 3678.801598802 3693.345027511 3640.813353189 3392.916996632 3580.759020153 3580.759020153 3348.017721309 3348.017721309 3632.559313984
1433 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296743383 3683.276892735 3618.799480137 3642.829892732 3611.103651106 3553.726096118 3524.710810778 3355.868535083 3532.139677859 3532.139677859 3361.705727145 3361.705727145 3588.270699497
1522 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296743383 3645.089224716 3531.236995762 3610.855796550 3557.796051763 3490.039315272 3478.575370625 3343.632322495 3501.829279264 3501.829279264 3404.681471016 3404.681471016 3551.558763146
1611 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296743383 3627.226625208 3529.554554682 3575.261061407 3556.185688239 3466.452678454 3458.556985049 3344.024262825 3490.996069632 3490.996069632 3372.479707555 3372.479707555 3532.124833348
1700 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296743383 3588.909078406 3510.414097958 3527.874634620 3552.828792042 3427.066245009 3421.200288910 3343.245187713 3488.972956379 3488.972956379 3317.452151848 3317.452151848 3492.228139014
899 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.367402423 2887.117588722 2672.783573970 2686.319700484 2806.094950834 2648.155722602 2658.416980124 2570.986126890 2876.600382478 2876.600382478 2562.203289453 2562.203289453 2668.738857351
988 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.367402423 2879.720530817 2659.842418525 2668.258134842 2694.779415069 2635.360723626 2600.543587963 2565.718318768 2881.538200608 2881.538200608 2462.740400049 2462.740400049 2614.126152575
1077 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.367402423 2835.001895265 2642.965694181 2613.772771906 2625.929856442 2585.985418966 2531.565000434 2552.145632308 2890.681321444 2890.681321444 2422.056924343 2422.056924343 2596.491298844
1166 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.367402423 2799.184517216 2628.654954348 2590.276930534 2587.943438615 2577.707657238 2525.622111793 2505.705687330 2733.118284743 2733.118284743 2369.198055838 2369.198055838 2602.964431313
